source;share/socketcan_adapter_ros/hook/cmake_prefix_path.ps1
source;share/socketcan_adapter_ros/hook/cmake_prefix_path.dsv
source;share/socketcan_adapter_ros/hook/cmake_prefix_path.sh
source;share/socketcan_adapter_ros/hook/ld_library_path_lib.ps1
source;share/socketcan_adapter_ros/hook/ld_library_path_lib.dsv
source;share/socketcan_adapter_ros/hook/ld_library_path_lib.sh
source;share/socketcan_adapter_ros/local_setup.bash
source;share/socketcan_adapter_ros/local_setup.dsv
source;share/socketcan_adapter_ros/local_setup.ps1
source;share/socketcan_adapter_ros/local_setup.sh
source;share/socketcan_adapter_ros/local_setup.zsh
